node,bipartite,frequency
Rule 27.26,1.0,10
error not harmless,0.0,10
actual possession,0.0,10
right against self-incrimination,1.0,10
possession of substance,0.0,10
res gestae,1.0,10
strict construction,1.0,10
valid reason,0.0,10
18 U.S.C. § 924(e),1.0,10
adequate representation,1.0,10
identification,0.0,10
illegal detention,0.0,10
age,0.0,10
procedural default,0.0,10
lack of knowledge,0.0,10
burglary definition,1.0,10
murder definition,1.0,10
guilty finding,0.0,10
guilty knowledge,0.0,10
fair hearing,0.0,10
sufficient evidence standard,1.0,10
untimely motion,0.0,10
defense preparation,0.0,10
evidence supports conviction,0.0,10
right to due process,0.0,10
character evidence rule,1.0,10
defendant history,0.0,10
no direct evidence,0.0,10
malice,0.0,10
meaningful representation,0.0,10
failure to appear,0.0,10
police testimony,0.0,10
materiality,0.0,10
sentence length,0.0,10
proportionality,1.0,10
joint trial,0.0,10
attempted robbery,0.0,10
use of deadly weapon,0.0,10
statutory law,1.0,10
right to defense,1.0,10
Rule 24.035,1.0,10
plea understanding,0.0,10
search warrant issued,0.0,10
indictment language,0.0,10
DNA evidence,0.0,10
reasonable expectation,0.0,10
conviction upheld,0.0,10
search of person,0.0,10
drug trafficking,0.0,10
life imprisonment,0.0,10
Evidence Rule 404(b),1.0,10
due process law,1.0,10
due process requirement,1.0,10
malicious prosecution,0.0,10
public safety,0.0,10
risk of harm,0.0,10
no hearing,0.0,10
manslaughter,0.0,10
irrelevant evidence,0.0,10
